Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
Treatment Anatomic Site,The text term used to describe the anatomic site of resection; biopsy; tissue or organ of biospecimen origin; progression or recurrent disease; treatment,"Abdomen NOS,Abdominal esophagus,Accessory sinus NOS,Acoustic nerve,Adrenal gland NOS,Ampulla of Vater,Anal canal,Anterior 2/3 of tongue NOS,Anterior floor of mouth,Anterior mediastinum,Anterior surface of epiglottis,Anterior wall of bladder,Anterior wall of nasopharynx,Anus NOS,Aortic body and other paraganglia,Appendix,Ascending colon,Autonomic nervous system NOS,Axillary tail of breast,Base of tongue NOS,Bladder neck,Bladder NOS,Blood,Body of pancreas,Body of penis,Body of stomach,Bone marrow,Bone of limb NOS,Bone NOS,Bones of skull and face and associated joints,Border of tongue,Brain stem,Brain NOS,Branchial cleft,Breast NOS,Broad ligament,Cardia NOS,Carotid body,Cauda equina,Cecum,Central portion of breast,Cerebellum NOS,Cerebral meninges,Cerebrum,Cervical esophagus,Cervix uteri,Choroid,Ciliary body,Cloacogenic zone,Colon NOS,Commissure of lip,Conjunctiva,Connective subcutaneous and other soft tissues of abdomen,Connective subcutaneous and other soft tissues of head face and neck,Connective subcutaneous and other soft tissues of lower limb and hip,Connective subcutaneous and other soft tissues of pelvis,Connective subcutaneous and other soft tissues of thorax,Connective subcutaneous and other soft tissues of trunk NOS,Connective subcutaneous and other soft tissues of upper limb and shoulder,Connective subcutaneous and other soft tissues NOS,Cornea NOS,Corpus uteri,Cortex of adrenal gland,Cranial nerve NOS,Craniopharyngeal duct,Descended testis,Descending colon,Dome of bladder,Dorsal surface of tongue NOS,Duodenum,Endocervix,Endocrine gland NOS,Endometrium,Epididymis,Esophagus NOS,Ethmoid sinus,Exocervix,External ear,External lip NOS,External lower lip,External upper lip,Extrahepatic bile duct,Eye NOS,Eyelid,Fallopian tube,Female genital tract NOS,Floor of mouth NOS,Frontal lobe,Frontal sinus,Fundus of stomach,Fundus uteri,Gallbladder,Gastric antrum,Gastrointestinal tract NOS,Glans penis,Glottis,Greater curvature of stomach NOS,Gum NOS,Hard palate,Head of pancreas,Head face or neck NOS,Heart,Hematopoietic system NOS,Hepatic flexure of colon,Hypopharyngeal aspect of aryepiglottic fold,Hypopharynx NOS,Ileum,Ill-defined sites within respiratory system,Intestinal tract NOS,Intra-abdominal lymph nodes,Intrahepatic bile duct,Intrathoracic lymph nodes,Islets of Langerhans,Isthmus uteri,Jejunum,Kidney NOS,Labium majus,Labium minus,Lacrimal gland,Laryngeal cartilage,Larynx NOS,Lateral floor of mouth,Lateral wall of bladder,Lateral wall of nasopharynx,Lateral wall of oropharynx,Lesser curvature of stomach NOS,Lingual tonsil,Lip NOS,Liver,Long bones of lower limb and associated joints,Long bones of upper limb scapula and associated joints,Lower gum,Lower limb NOS,Lower lobe lung,Lower third of esophagus,Lower-inner quadrant of breast,Lower-outer quadrant of breast,Lung NOS,Lymph node NOS,Lymph nodes of axilla or arm,Lymph nodes of head face and neck,Lymph nodes of inguinal region or leg,Lymph nodes of multiple regions,Main bronchus,Major salivary gland NOS,Male genital organs NOS,Mandible,Maxillary sinus,Meckel diverticulum,Mediastinum NOS,Medulla of adrenal gland,Meninges NOS,Middle ear,Middle lobe lung,Middle third of esophagus,Mouth NOS,Mucosa of lip NOS,Mucosa of lower lip,Mucosa of upper lip,Myometrium,Nasal cavity,Nasopharynx NOS,Nervous system NOS,Nipple,Occipital lobe,Olfactory nerve,Optic nerve,Orbit NOS,Oropharynx NOS,Other ill-defined sites,Other specified parts of female genital organs,Other specified parts of male genital organs,Other specified parts of pancreas,Ovary,Overlapping lesion of accessory sinuses,Overlapping lesion of bladder,Overlapping lesion of bones joints and articular cartilage,Overlapping lesion of bones joints and articular cartilage of limbs,Overlapping lesion of brain,Overlapping lesion of brain and central nervous system,Overlapping lesion of breast,Overlapping lesion of cervix uteri,Overlapping lesion of colon,Overlapping lesion of connective subcutaneous and other soft tissues,Overlapping lesion of corpus uteri,Overlapping lesion of digestive system,Overlapping lesion of endocrine glands and related structures,Overlapping lesion of esophagus,Overlapping lesion of eye and adnexa,Overlapping lesion of female genital organs,Overlapping lesion of floor of mouth,Overlapping lesion of heart mediastinum and pleura,Overlapping lesion of hypopharynx,Overlapping lesion of ill-defined sites,Overlapping lesion of larynx,Overlapping lesion of lip,Overlapping lesion of lip oral cavity and pharynx,Overlapping lesion of lung,Overlapping lesion of major salivary glands,Overlapping lesion of male genital organs,Overlapping lesion of nasopharynx,Overlapping lesion of other and unspecified parts of mouth,Overlapping lesion of palate,Overlapping lesion of pancreas,Overlapping lesion of penis,Overlapping lesion of peripheral nerves and autonomic nervous system,Overlapping lesion of rectum anus and anal canal,Overlapping lesion of respiratory system and intrathoracic organs,Overlapping lesion of retroperitoneum and peritoneum,Overlapping lesion of skin,Overlapping lesion of small intestine,Overlapping lesion of stomach,Overlapping lesion of tongue,Overlapping lesion of tonsil,Overlapping lesion of urinary organs,Overlapping lesion of vulva,Overlapping lesions of oropharynx,Palate NOS,Pancreas NOS,Pancreatic duct,Parametrium,Parathyroid gland,Paraurethral gland,Parietal lobe,Parotid gland,Pelvic bones sacrum coccyx and associated joints,Pelvic lymph nodes,Pelvis NOS,Penis NOS,Peripheral nerves and autonomic nervous system of abdomen,Peripheral nerves and autonomic nervous system of head face and neck,Peripheral nerves and autonomic nervous system of lower limb and hip,Peripheral nerves and autonomic nervous system of pelvis,Peripheral nerves and autonomic nervous system of thorax,Peripheral nerves and autonomic nervous system of trunk NOS,Peripheral nerves and autonomic nervous system of upper limb and shoulder,Peritoneum NOS,Pharynx NOS,Pineal gland,Pituitary gland,Placenta,Pleura NOS,Postcricoid region,Posterior mediastinum,Posterior wall of bladder,Posterior wall of hypopharynx,Posterior wall of nasopharynx,Posterior wall of oropharynx,Prepuce,Prostate gland,Pylorus,Pyriform sinus,Rectosigmoid junction,Rectum NOS,Renal pelvis,Reticuloendothelial system NOS,Retina,Retromolar area,Retroperitoneum,Rib sternum clavicle and associated joints,Round ligament,Scrotum NOS,Short bones of lower limb and associated joints,Short bones of upper limb and associated joints,Sigmoid colon,Skin of lip NOS,Skin of lower limb and hip,Skin of other and unspecified parts of face,Skin of scalp and neck,Skin of trunk,Skin of upper limb and shoulder,Skin NOS,Small intestine NOS,Soft palate NOS,Specified parts of peritoneum,Spermatic cord,Sphenoid sinus,Spinal cord,Spinal meninges,Spleen,Splenic flexure of colon,Stomach NOS,Subglottis,Sublingual gland,Submandibular gland,Superior wall of nasopharynx,Supraglottis,Tail of pancreas,Temporal lobe,Testis NOS,Thoracic esophagus,Thorax NOS,Thymus,Thyroid gland,Tongue NOS,Tonsil NOS,Tonsillar fossa,Tonsillar pillar,Trachea,Transverse colon,Trigone of bladder,Undescended testis,unknown primary site,Upper gum,Upper limb NOS,Upper lobe lung,Upper respiratory tract NOS,Upper third of esophagus,Upper-inner quadrant of breast,Upper-outer quadrant of breast,Urachus,Ureter,Ureteric orifice,Urethra,Urinary system NOS,Uterine adnexa,Uterus NOS,Uvula,Vagina NOS,Vallecula,Ventral surface of tongue NOS,Ventricle NOS,Vertebral column,Vestibule of mouth,Vulva NOS,Waldeyer ring,Biliary tract NOS,Cheek mucosa,Clitoris,Overlapping lesion of biliary tract,unknown,Not Reported",,,FALSE,Follow Up,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=6161026&version=1.0,
NCI Atlas Cancer Site,"The primary tumor site used to calculate the incidence rate using the NCI Cancer Atlas, a digital atlas which provides geographical data related to cancer utilizing the Surveillance, Epidemiology, and End Results (SEER) Program cancer incidence rates for 2013 to 2017","Bladder, Brain And Other Nervous System, Female Breast, In situ Female Breast, Cervix Uteri, Less Than Age, Malignant Childhood Neoplasm, Colon And Rectum, Esophagus, Kidney And Renal Pelvis, Leukemia, Liver And Bile Duct, Lung And Bronchus, Cutaneous Melanoma, Non-Hodgkin's Lymphoma, Oral Cavity And Pharynx, Ovary, Pancreas, Prostate Gland, Stomach, Thyroid Gland, Uterus",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=7639473&version=1.0,
Progression or Recurrence Type,The text term used to describe the type of progressive or recurrent disease or relapsed disease.,"Biochemical, Distant, Local, Regional, unknown, Not Reported",,,FALSE,Diagnosis,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=6142385&version=1.0,
Reflux Treatment Type,Text term used to describe the types of treatment used to manage gastroesophageal reflux disease (GERD).,"Antacids, H2 Blockers, Medically Treated, No Treatment, Not Applicable, Not Reported, Proton Pump Inhibitors, Surgically Treated, unknown",,,FALSE,Follow Up,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=3440206&version=1.0,
Risk Factor,The text term used to describe a risk factor the patient had at the time of or prior to their diagnosis.,"Alcohol Consumption,Alcoholic Liver Disease,Allergy Animal NOS,Allergy Ant,Allergy Bee,Allergy Cat,Allergy Dairy or Lactose,Allergy Dog,Allergy Eggs,Allergy Food NOS,Allergy Fruit,Allergy Meat,Allergy Mold or Dust,Allergy Nuts,Allergy Processed Foods,Allergy Seafood,Allergy Wasp,Alpha-1 Antitrypsin Deficiency,Autoimmune Atrophic Chronic Gastritis,Barrett's Esophagus,Beckwith-Wiedemann,Behcet's Disease,Cancer,Cholelithiasis,Chronic Hepatitis,Cirrhosis,Colon Polyps,Common variable immune deficiency (CVID),Denys-Drash Syndrome,Diabetes NOS,Diabetes Type I,Diabetes Type II,Diet,Diverticulitis,Endometriosis,Endosalpingiosis,Eczema,Epstein-Barr Virus,Familial Adenomatous Polyposis,Fanconi Anemia,Fibrosis,Gastric Polyp(s),Gilbert's Syndrome,Gorlin Syndrome,Hashimoto's Thyroiditis,Hay Fever,Headache,Helicobacter Pylori-Associated Gastritis,Hematologic Disorder NOS,Hemihypertrophy,Hemochromatosis,Hepatic Encephalopathy,Hepatitis B Infection,Hepatitis C Infection,Hepatitis NOS,High Grade Dysplasia,HIV,Human Papillomavirus Infection,Hypospadias,Intestinal Metaplasia,Iron Overload,Li-Fraumeni Syndrome,Low Grade Dysplasia,Lymphocytic Thyroiditis,Lynch Syndrome,Myasthenia Gravis,Nonalcoholic Fatty Liver Disease,Nonalcoholic Steatohepatitis,Obesity,Oral Contraceptives,Pancreatitis,Parasitic Disease of Biliary Tract,Primary Sclerosing Cholangitis,Recurrent Pyogenic Cholangitis,Reflux Disease,Rheumatoid Arthritis,Rubinstein-Taybi Syndrome,Sarcoidosis,Seizure,Sensory Changes,Serous tubal intraepithelial carcinoma (STIC),Steatosis,Tattoo,Thyroid Nodular Hyperplasia,Tobacco NOS,Tobacco Smokeless,Tobacco Smoking,Turcot Syndrome,Undescended Testis,Vision Changes,Wagr Syndrome,unknown,Not Reported",,,FALSE,Follow Up,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=6142389&version=1.0,
Risk Factor Treatment,The yes/no/unknown indicator used to describe whether the patient received treatment for a risk factor the patient had at the time of or prior to their diagnosis.,"Yes, No, unknown, Not Reported",,,FALSE,Follow Up,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=6514356&version=1.0,
Viral Hepatitis Serologies,Text term that describes the kind of serological laboratory test used to determine the patient's hepatitus status.,"HBV Core Antibody, HBV DNA, HBV Genotype, HBV Surface Antibody, HCV Genotype, Hepatitis B Surface Antigen, Hepatitis C Antibody, Hepatitis C Virus RNA, unknown, Not Reported",,,FALSE,Follow Up,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=4395982&version=1.0,
Weight,The weight of the patient measured in kilograms.,,,,FALSE,Follow Up,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=651&version=4.0,
Days to Treatment End,Number of days between the date used for index and the date the treatment ended. If not applicable please enter 'Not Applicable',,,,FALSE,Therapy,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=6154725&version=1.0,regex match \d+$|Not\sApplicable$|unknown$
Days to Treatment Start,Number of days between the date used for index and the date the treatment started. If not applicable please enter 'Not Applicable',,,,FALSE,Therapy,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=6154726&version=1.0,regex match \d+$|Not\sApplicable$|unknown$
Initial Disease Status,The text term used to describe the status of the patient's malignancy when the treatment began.,"Initial Diagnosis, Progressive Disease, Recurrent Disease, Residual Disease, unknown, Not Reported",,,FALSE,Therapy,,,
Regimen or Line of Therapy,The text term used to describe the regimen or line of therapy.,,,,FALSE,Therapy,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=6161024&version=1.0,
Therapeutic Agents,Text identification of the individual agent(s) used as part of a treatment regimen.,,,,FALSE,Therapy,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=2975232&version=1.0,
Treatment Effect,The text term used to describe the pathologic effect a treatment(s) had on the tumor.,"Complete Necrosis (No Viable Tumor), Incomplete Necrosis (Viable Tumor Present), No Necrosis, unknown, Not Reported",,,FALSE,Therapy,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=6514354&version=1.0,
Treatment Intent Type,Text term to identify the reason for the administration of a treatment regimen. [Manually-curated],"Adjuvant, Cancer Control, Cure, Neoadjuvant, Palliative, Prevention, unknown, Not Reported",,,FALSE,Therapy,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=2793511&version=1.0,
Treatment or Therapy,A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received.,"yes, no, unknown, Not Reported",,,FALSE,Therapy,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=4231463&version=1.0,
Treatment Outcome,Text term that describes the patient's final outcome after the treatment was administered.,"Complete Response, Mixed Response, No Measurable Disease, No Response, Partial Response, Persistent Disease, Progressive Disease, Stable Disease, Treatment Ongoing, Treatment Stopped Due to Toxicity, Very Good Partial Response, unknown, Not Reported",,,FALSE,Therapy,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=5102383&version=1.0,
Treatment Type,Text term that describes the kind of treatment administered.,"Ablation Cryo,Ablation Ethanol Injection,Ablation Microwave,Ablation NOS,Ablation Radiofrequency,Ablation Radiosurgical,Ancillary Treatment,Antiseizure Treatment,Bisphosphonate Therapy,Blinded Study Treatment unknown,Brachytherapy High Dose,Brachytherapy Low Dose,Brachytherapy NOS,Chemoembolization,Chemoprotectant,Chemotherapy,Concurrent Chemoradiation,Cryoablation,Embolization,Ethanol Injection Ablation,External Beam Radiation,Hormone Therapy,I-131 Radiation Therapy,Internal Radiation,Immunotherapy (Including Vaccines),Isolated Limb Perfusion (ILP),Organ Transplantation,Other,Pharmaceutical Therapy NOS,Pleurodesis,Radiation 2D Conventional,Radiation 3D Conformal,Radiation Combination,Radiation Cyberknife,Radiation External Beam,Radiation Implants,Radiation Intensity-Modulated Radiotherapy,Radiation Internal,Radiation Proton Beam,Radiation Radioisotope,Radiation Stereotactic/Gamma Knife/SRS,Radiation Systemic,Radiation Therapy NOS,Radioactive Iodine Therapy,Radioembolization,Radiosensitizing Agent,Stem Cell Treatment,Stem Cell Transplantation Autologous,Stem Cell Transplantation Double Autologous,Stem Cell Transplantation Allogeneic,Stem Cell Transplantation Non-Myeloablative,Stem Cell Transplantation Syngenic,Stem Cell Transplantation Haploidentical,Stem Cell Transplantation NOS,Stereotactic Radiosurgery,Steroid Therapy,Surgery,Targeted Molecular Therapy,unknown,Not Reported",,,FALSE,Therapy,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=5102381&version=1.0,list like
Chemo Concurrent to Radiation,The text term used to describe whether the patient was receiving chemotherapy concurrent to radiation.,"Yes, No, unknown, Not Reported",,,FALSE,Therapy,,,
Number of Cycles,The numeric value used to describe the number of cycles of a specific treatment or regimen the patient received.,,,,FALSE,Therapy,,,
Reason Treatment Ended,The text term used to describe the reason a specific treatment or regimen ended.,"Adverse Therapy Event, Course of Therapy Completed, Death, Disease Progression, Other, Withdrawal by Subject",,,FALSE,Therapy,,,
Treatment Arm,Text term used to describe the treatment arm assigned to a patient at the time eligibility is determined.,"A081105, E4512, EA5142",,,FALSE,Therapy,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=7068995&version=1.0,
Treatment Dose,The numeric value used to describe the dose of an agent the patient received.,,,,FALSE,Therapy,,https://cadsr.cancer.gov/onedata/dmdirect/NIH/NCI/CO/CDEDD?filter=CDEDD.ITEM_ID=2182728&version=3.0,
Treatment Dose Units,The text term used to describe the dose units of an agent the patient received.,"cGy, Gy",,,FALSE,Therapy,,,
Treatment Effect Indicator,The text term used to indicate whether the treatment had an effect on the patient.,"Yes, No, Not Reported, unknown",,,FALSE,Therapy,,,
Treatment Frequency,The text term used to describe the frequency the patient received an agent or regimen.,"Every Hour,Five Times Daily,Four Times Daily,Three Times Daily,Twice Daily,Every 24 Hours,Every Other Day,Twice Weekly,Once Weekly,unknown,Not Reported",,,FALSE,Therapy,,,
Sentinel Lymph Node Count,Numeric count of sentinel lymph nodes.,,,,FALSE,Diagnosis,,,
Sentinel Node Positive Assessment Count,The number or amount of metastatic neoplasms related to the confirmed presence of disease or specific microorganisms during examination of the first rounded mass of lymphatic tissue to which cancer is likely to spread from the primary tumor.,,,,FALSE,Diagnosis,,,
Tumor Extranodal Extension Indicator,The indicator to determine extranodal involvement or extent of the disease.,"Absent,Indeterminate,NO, YES, No source documentation,Not applicable,Not sampled or dissected,Present,Present - extensive,Present - minimal,UNKNOWN,Unspecified",,,FALSE,Diagnosis,,,
Satellite Metastasis Present Indicator,A yes/no indicator to ask if intransit metastases or satellite lesions are present.,"Yes, No, unknown",,,FALSE,Diagnosis,,,
Other Biopsy Resection Site,A description of the location on or within the human body where the surgical biopsy/resection procedure was performed (Not covered under HTAN Clinical Data Tier 1),,,,FALSE,Diagnosis,,,
Extent of Tumor Resection,"The degree to which the lesion has been cut out, or resected.","Gross Total Resection, Open Biopsy, Subtotal Resection, Extensive Subtotal, Minor, Optimal debulking, Other, Partial debulking, Segmental, Suboptimal, Suboptimal debulking, NTR, unknown, Not Reported, Not Applicable      ",,,FALSE,Diagnosis,,,
Precancerous Condition Type,The classification of pre-cancerous cells found in a specific collection of data being studied by the Consortium for Molecular and Cellular Characterization of Screen-Detected Lesions (MCL).,"Ductal Carcinoma In Situ,Pancreatic Intraductal Papillary-Mucinous Neoplasm,Atypical Adenomatous Lung Hyperplasia,Other,Pancreatic Intraepithelial Neoplasia,Prostatic Intraepithelial Neoplasia,Melanocytic hyperplasia,Atypical melanocytic proliferation,Melanoma in situ,Superficial spreading,Melanoma in situ,Lentigo maligna type,Melanoma in situ,Acral-lentiginous,Melanoma in situ arising in a giant congenital nevus,Persistent melanoma in situ,Melanoma in situ not otherwise classified,Scar - no residual melanoma,Invasive melanoma - superficial spreading,Invasive melanoma - nodular type,Invasive melanoma - lentigo maligna,Invasive melanoma - acral lentiginous,Invasive melanoma - desmoplastic,Invasive melanoma - nevoid,Invasive melanoma,Normal WDA,Reserve cell hyperplasia,Squamous metaplasia - mature,Squamous metaplasia - immature,Mild dysplasia,Moderate dysplasia,Severe dysplasia,Atypical adenomatous hyperplasia,Adenocarcinoma in situ - non mucinous,Adenocarcinoma in situ - mucinous,Benign tumor NOS,Hamartoma,Carcinoma NOS, Normal, Squamous carcinoma in situ, Neuroendocrine cell hyperplasia, No diagnosis possible, Not Applicable",,,FALSE,Diagnosis,,,
Prior Sites of Radiation,The anatomic location to which radiation treatment was administered to a patient prior to enrollment on a protocol.,"Abdomen total,Abdominal Wall,Acetabulum,Adenoid,Adipose,Adrenal,Alveolar Ridge,Amniotic Fluid,Ampulla of Vater,Anal Sphincter,Ankle,Anorectum,Antecubital Fossa,Antrum,Anus,Aorta,Aortic Body,Appendix,Aqueous Fluid,Arm,Artery,Ascending Colon,Ascending Colon Hepatic Flexure,Ascites,Auditory Canal,Autonomic Nervous System,Axilla,Back,Bile Duct,Bladder,Blood,Blood Vessel,Body total,Bone,Bone Marrow,Bone non-spine,Bowel,Brain,Brain Stem,Breast,Broad Ligament,Bronchiole,Bronchus,Brow,Buccal Cavity,Buccal Mucosa,Buttock,Calf,Capillary,Cardia,Carina,Carotid Artery,Carotid Body,Cartilage,Cecum,Cell-Line,Central Nervous System,Cerebellum,Cerebral Cortex,Cerebrospinal Fluid,Cerebrum,Cervical Spine,Cervix,Chest,Chest Wall,Chin,Clavicle,Clitoris,Colon,Colon Mucosa Only,Common Duct,Conjunctiva,Connective Tissue,Dermal,Descending Colon,Diaphragm,Distant Site,Duodenum,Ear,Ear Canal,Ear Pinna (External),Elbow,Endocrine Gland,Epididymis,Epidural Space,Epitrochlear,Esophagogastric Junction,Esophagus,Esophagus Mucosa Only,Eye,Fallopian Tube,Femoral Artery,Femoral Vein,Femur,Fibroblasts,Fibula,Finger,Floor of Mouth,Fluid,Foot,Forearm,Forehead,Foreskin,Frontal Cortex,Frontal Lobe,Fundus of Stomach,Gallbladder,Ganglia,Gastroesophageal Junction,Gastrointestinal Tract,Gastrointestinal Intestine,Genitourinary NOS,Groin,Gum,Hand,Hard Palate,Head Face Or Neck Nos,Head and Neck,Heart,Hepatic,Hepatic Duct,Hepatic Vein,Hilar,Hip,Hippocampus,Humerus,Hypopharynx,Ileocecal Valve,Ileum,Ilium,Index Finger,Ischium,Islet Cells,Jaw,Jejunum,Joint,Kidney,Knee,Lacrimal Gland,Large Bowel,Laryngopharynx,Larynx,Leg,Leptomeninges,Ligament,Lip,Liver,Lumbar Spine,Lung,Lymph Node,Lymph Node(s) Axilla,Lymph Node(s) Cervical,Lymph Node(s) Distant,Lymph Node(s) Epitrochlear,Lymph Node(s) Femoral,Lymph Node(s) Hilar,Lymph Node(s) Iliac-Common,Lymph Node(s) Iliac-External,Lymph Node(s) Inguinal,Lymph Node(s) Internal Mammary,Lymph Node(s) Mammary,Lymph Node(s) Mediastinal,Lymph Node(s) Mesenteric,Lymph Node(s) Occipital,Lymph Node(s) Paraaortic,Lymph Node(s) Parotid,Lymph Node(s) Pelvic,Lymph Node(s) Popliteal,Lymph Node(s) Regional,Lymph Node(s) Retroperitoneal,Lymph Node(s) Scalene,Lymph Node(s) Splenic,Lymph Node(s) Subclavicular,Lymph Node(s) Submandibular,Lymph Node(s) Supraclavicular,Mandible,Mantle,Maxilla,Mediastinal Soft Tissue,Mediastinum,Mesentery,Mesothelium,Middle Finger,Mitochondria,Muscle,Nails,Nasal Cavity,Nasal Soft Tissue,Nasopharynx,Neck,Nerve,Nerve(s) Cranial,Occipital Cortex,Ocular Orbits,Omentum,Oral Cavity,Oral Cavity Mucosa Only,Oropharynx,Other,Ovary,Palate,Pancreas,Parametrium,Paraspinal Ganglion,Parathyroid,Parotid Gland,Patella,Pelvis,Penis,Pericardium,Periorbital Soft Tissue,Peritoneal Cavity,Peritoneum,Pharynx,Pineal,Pineal Gland,Pituitary Gland,Placenta,Pleura,Popliteal Fossa,Pouch,Primary Tumor Field,Primary tumor site,Prostate,Prostate Bed,Prostate Seminal Vesicles and Lymph Nodes,Pylorus,Rectosigmoid Junction,Rectum,Regional Site,Retina,Retro-Orbital Region,Retroperitoneum,Rib,Ring Finger,Round Ligament,Sacrum,Salivary Gland,Scalp,Scapula,Sciatic Nerve,Scrotum,Seminal Vesicle,Shoulder,Sigmoid Colon,Sinus,Sinus(es) Maxillary,Skeletal Muscle,Skin,Skin lower extremity local,Skin total,Skin trunk local,Skin upper extremity local,Skull,Small Bowel,Small Bowel Mucosa Only,Small Finger,Soft Tissue,Spinal Column,Spinal Cord,Spine,Spleen,Splenic Flexure,Sternum,Stomach,Stomach Mucosa Only,Subcutaneous Tissue,Synovium,Temporal Cortex,Tendon,Testis,Thigh,Thoracic Spine,Thorax,Throat,Thumb,Thymus,Thyroid,Tibia,Tongue,Tonsil,Tonsil (Pharyngeal),Trachea / Major Bronchi,Transverse Colon,Trunk,Umbilical Cord,unknown,Ureter,Urethra,Urinary Tract,Uterus,Uvula,Vagina,Vas Deferens,Vein,Venous,Vertebra,Vulva,White Blood Cells,Wrist,Not Reported",,,FALSE,Therapy,,,
Immunosuppression,The indicator that describes whether or not immunosuppressive therapy was administered.,"Yes, No, unknown, Not Applicable, Not Done",,,FALSE,Therapy,,,
Concomitant Medication Received Type,An enumerated list of the type of concomitant medication received by the patient.,"Anticoagulant agents,Anticonvulsant,Antifungal,Antiplatelet agents,Antidepressants-Moderate CYP2D6 inhibitors,Antidepressants-Strong CYP2D6 inhibitors,Antidepressants-weak CYP2D2 inhibitors or non-inhibitors,Anxiolytics or sedatives,Aspirin,Bisphosphonates for treatment/prevention of bone loss,Corticosteroid,COX-2 inhibitor,Decadron,Diabetes-Insulin,Diabetes-Metformin containing agents,Growth factor,Intravaginal estrogen preparations,Lipid-lowering drugs,Non-prescription supplements for memory,Non-prescription supplements for relief of hot flashes,Non-steroidal anti-inflammatory agents,Opioids,Other,Prescription medications for memory,Prescription medications for relief of hot flashes,Prophylactic antiplatelet therapy,Tricyclic antidepressants,Not Applicable,unknown,Not Reported",,,FALSE,Therapy,,,
Family Member Vital Status Indicator,The response indicates whether the family member of the patient with a history of cancer is alive. (Extension to GDC attributes in Family History Tier 1),"Vital Status Alive, Vital Status Dead, unknown, Not Reported",,,FALSE,Family History,,,
COVID19 Occurrence Indicator,The indicator that describes whether or not a COVID-19 infectious disorder occurred.,"Yes, No, unknown, Not Applicable, Not Done",,,FALSE,Exposure,,,
COVID19 Current Status,The patient's current COVID-19 status of sign or symptom events or interventions,"Patient currently has symptoms, Patient had symptoms but now is fully recovered, Patient never had any symptoms of COVID-19, Status unknown due to general COVID-19 related travel restrictions, Status unknown due to lack of disease/tumor assessment due to COVID-19 diagnosis, Status unknown due to other reasons",,,FALSE,Exposure,,,
COVID19 Positive Lab Test Indicator,The indicator that describes whether or not there was a COVID-19 positive test result.,"Yes, No, unknown, Not Applicable, Not Done",,,FALSE,Exposure,,,
COVID19 Antibody Testing,Text term that demonstrates the test results of immunoglobulin M (IgM) and immunoglobulin G (IgG) antibodies to the SARS-CoV-2 virus in subject serum samples.,"SARS-CoV-2 IgM antibody positive, SARS-CoV-2 IgG antibody positive, SARS-CoV-2 IgG/IgM antibody positive, SARS-CoV-2 IgM antibody negative, SARS-CoV-2 IgG antibody negative, SARS-CoV-2 IgG/IgM antibody negative, unknown, Not Applicable, Not Done",,,FALSE,Exposure,,,
COVID19 Complications Severity,Text term that retrospectively indicates the worst complications during COVID-19 infectious disorder in the patient.,"Cardiac complications, Pulmonary complications, Systemic complications, Other, Not Applicable, unknown",,,FALSE,Exposure,,,
COVID19 Cancer Treatment Followup,Indicator that describes if cancer treatment was modified for the patient due to COVID-19 infectious disorder,"Yes, No, unknown, Not Applicable",,,FALSE,Exposure,,,
Ecig vape use,"Use of non-traditional cigarette nicotine delivery device (electronic cigarette, ENDS - electronic nicotine delivery system)","Current, Former, Never, unknown",,,FALSE,Exposure,,,
